id,lat,lng,date,count
203501,42.3421746,-71.0629376,Wed 4/3/1991,19.5
203507,42.4065393,-71.167457,Wed 4/3/1991,48
203513,42.357555,-71.0545667,Tue 9/17/1991,11
203517,42.3646036,-71.06975729999999,Fri 9/13/1991,40.5
235775,42.338246,-71.05844259999999,Sun 11/11/2001,8.375
235780,42.3666665,-71.06826989999999,Sun 4/29/2001,19.2
235782,42.3666665,-71.06826989999999,Sun 4/29/2001,21.625
238079,42.3614991,-71.075347,Sun 5/4/2003,11.571428571428571
238092,42.3542372,-71.0800015,Wed 5/21/2003,103.5
238094,42.3542372,-71.0800015,Thu 5/22/2003,79.5
239065,42.3600825,-71.0588801,Mon 7/26/1999,26.4
239053,42.3630786,-71.0533355,Thu 5/22/2003,16.5
239396,42.3309908,-71.0645207,Tue 8/24/1999,14
239413,42.3600825,-71.0588801,Mon 7/26/1999,6.2
240081,42.3600825,-71.0588801,Tue 8/24/1999,16.75
240082,42.3600825,-71.0588801,Tue 8/24/1999,18
240084,42.3600825,-71.0588801,Tue 7/27/1999,11.5
240091,42.4065393,-71.167457,Tue 7/27/1999,12.5
240092,42.3600825,-71.0588801,Tue 7/27/1999,100.6
240093,42.3600825,-71.0588801,Tue 8/24/1999,18.333333333333332
240095,42.3600825,-71.0588801,Tue 8/24/1999,28
240096,42.3600825,-71.0588801,Mon 7/26/1999,10.8
240101,42.3600825,-71.0588801,Mon 7/26/1999,19.5
250035,42.3493111,-71.04369969999999,Thu 10/3/2002,8.333333333333334
250038,42.3600825,-71.0588801,Thu 5/22/2003,6
250036,42.3448372,-71.0493904,Thu 10/3/2002,1.3333333333333333
250041,42.3577756,-71.070295,Wed 5/21/2003,12
250049,42.3491723,-71.0454766,Thu 10/3/2002,2
250058,42.3600825,-71.0588801,Sun 5/4/2003,57.333333333333336
250067,42.3600825,-71.0588801,Thu 5/22/2003,5.75
250064,42.3499928,-71.0415663,Wed 10/2/2002,2.5
250068,42.3600825,-71.0588801,Thu 5/22/2003,8.25
250077,42.3715978,-71.0431361,Thu 10/3/2002,3.3333333333333335
250078,42.3499928,-71.0415663,Thu 10/3/2002,22
250079,42.3715978,-71.0431361,Thu 10/3/2002,22.333333333333332
250088,42.3646036,-71.06975729999999,Wed 5/21/2003,43
250091,42.3600825,-71.0588801,Tue 5/20/2003,100.5
252007,42.3385863,-71.0789916,Wed 4/16/1997,183.66666666666666
8007,42.3646036,-71.06975729999999,Mon 5/19/2003,116
8054,42.3679413,-71.059324,Sun 4/2/2000,19
8107,42.3559041,-71.0551567,Mon 5/1/2000,30
