id,lat,lng,date,count
203501,42.3421746,-71.0629376,Wed 4/3/1991,"24,548"
203501,42.3421746,-71.0629376,Tue 4/2/1991,"15,493"
203507,42.4065393,-71.167457,Wed 4/3/1991,"49,409"
203507,42.4065393,-71.167457,Tue 4/2/1991,"47,243"
203513,42.357555,-71.0545667,Tue 9/17/1991,"11,270"
203517,42.3646036,-71.06975729999999,Fri 9/13/1991,"68,992"
203517,42.3646036,-71.06975729999999,Mon 9/9/1991,"13,029"
235775,42.338246,-71.05844259999999,Sun 11/11/2001,"4,296"
235775,42.338246,-71.05844259999999,Sat 11/10/2001,"3,027"
235775,42.338246,-71.05844259999999,Fri 11/9/2001,"9,840"
235775,42.338246,-71.05844259999999,Thu 11/8/2001,"12,679"
235775,42.338246,-71.05844259999999,Wed 11/7/2001,"12,268"
235775,42.338246,-71.05844259999999,Tue 11/6/2001,"9,817"
235775,42.338246,-71.05844259999999,Mon 11/5/2001,"9,136"
235775,42.338246,-71.05844259999999,Sun 11/4/2001,"9,118"
235780,42.3666665,-71.06826989999999,Sun 4/29/2001,"14,110"
235780,42.3666665,-71.06826989999999,Sat 4/28/2001,"17,221"
235780,42.3666665,-71.06826989999999,Fri 4/27/2001,"22,164"
235780,42.3666665,-71.06826989999999,Thu 4/26/2001,"22,109"
235780,42.3666665,-71.06826989999999,Wed 4/25/2001,"21,714"
235782,42.3666665,-71.06826989999999,Sun 4/29/2001,"17,119"
235782,42.3666665,-71.06826989999999,Sat 4/28/2001,"13,156"
235782,42.3666665,-71.06826989999999,Fri 4/27/2001,"19,400"
235782,42.3666665,-71.06826989999999,Thu 4/26/2001,"24,854"
235782,42.3666665,-71.06826989999999,Wed 4/25/2001,"23,151"
235782,42.3666665,-71.06826989999999,Tue 4/24/2001,"25,772"
235782,42.3666665,-71.06826989999999,Mon 4/9/2001,20
235782,42.3666665,-71.06826989999999,Sun 4/8/2001,32
238079,42.3614991,-71.075347,Sun 5/4/2003,"8,599"
238079,42.3614991,-71.075347,Sat 5/3/2003,"9,980"
238079,42.3614991,-71.075347,Fri 5/2/2003,"14,077"
238079,42.3614991,-71.075347,Thu 5/1/2003,"13,972"
238079,42.3614991,-71.075347,Wed 4/30/2003,"13,649"
238079,42.3614991,-71.075347,Tue 4/29/2003,"12,696"
238079,42.3614991,-71.075347,Mon 4/28/2003,"12,583"
238081,42.3679413,-71.059324,Tue 3/29/2005,"41,056"
238081,42.3679413,-71.059324,Mon 3/28/2005,"36,323"
238092,42.3542372,-71.0800015,Wed 5/21/2003,"104,864"
238092,42.3542372,-71.0800015,Tue 5/20/2003,"103,744"
238094,42.3542372,-71.0800015,Thu 5/22/2003,"80,117"
238094,42.3542372,-71.0800015,Wed 5/21/2003,"80,043"
238094,42.3542372,-71.0800015,Tue 5/20/2003,"80,718"
238094,42.3542372,-71.0800015,Mon 5/19/2003,"78,768"
239065,42.3600825,-71.0588801,Mon 7/26/1999,"29,073"
239065,42.3600825,-71.0588801,Sun 7/25/1999,"21,879"
239065,42.3600825,-71.0588801,Sat 7/24/1999,"23,481"
239065,42.3600825,-71.0588801,Fri 7/23/1999,"27,425"
239065,42.3600825,-71.0588801,Thu 7/22/1999,"32,061"
239053,42.3630786,-71.0533355,Thu 5/22/2003,"17,140"
239053,42.3630786,-71.0533355,Wed 5/21/2003,"16,245"
239053,42.3630786,-71.0533355,Tue 5/20/2003,"16,665"
239053,42.3630786,-71.0533355,Mon 5/19/2003,"17,919"
239396,42.3309908,-71.0645207,Wed 6/8/2005,"8,247"
239396,42.3309908,-71.0645207,Tue 6/7/2005,"4,815"
239396,42.3309908,-71.0645207,Mon 6/6/2005,"8,104"
239396,42.3309908,-71.0645207,Sun 6/5/2005,"8,360"
239396,42.3309908,-71.0645207,Tue 8/24/1999,"17,614"
239396,42.3309908,-71.0645207,Mon 8/23/1999,"18,064"
239396,42.3309908,-71.0645207,Tue 7/27/1999,"10,683"
239396,42.3309908,-71.0645207,Mon 7/26/1999,"15,404"
239396,42.3309908,-71.0645207,Sun 7/25/1999,"11,869"
239396,42.3309908,-71.0645207,Sat 7/24/1999,"13,458"
239413,42.3600825,-71.0588801,Mon 7/26/1999,"8,231"
239413,42.3600825,-71.0588801,Sun 7/25/1999,"5,427"
239413,42.3600825,-71.0588801,Sat 7/24/1999,"4,988"
239413,42.3600825,-71.0588801,Fri 7/23/1999,"7,333"
239413,42.3600825,-71.0588801,Thu 7/22/1999,"7,689"
240081,42.3600825,-71.0588801,Tue 8/24/1999,"26,448"
240081,42.3600825,-71.0588801,Mon 8/23/1999,"26,108"
240081,42.3600825,-71.0588801,Tue 7/27/1999,"7,745"
240081,42.3600825,-71.0588801,Thu 7/22/1999,"8,175"
240082,42.3600825,-71.0588801,Tue 8/24/1999,"18,743"
240082,42.3600825,-71.0588801,Mon 8/23/1999,"18,024"
240084,42.3600825,-71.0588801,Tue 7/27/1999,"3,643"
240084,42.3600825,-71.0588801,Thu 7/22/1999,"20,185"
240091,42.4065393,-71.167457,Tue 7/27/1999,"15,240"
240091,42.4065393,-71.167457,Mon 7/26/1999,"15,722"
240091,42.4065393,-71.167457,Sun 7/25/1999,"9,962"
240091,42.4065393,-71.167457,Sat 7/24/1999,"11,922"
240092,42.3600825,-71.0588801,Tue 7/27/1999,194
240092,42.3600825,-71.0588801,Mon 7/26/1999,164
240092,42.3600825,-71.0588801,Sun 7/25/1999,12
