TRIP_ID,DROPTIME,DROPADDRESS,DROPLONG,DROPLAT
3559,41183.42083,Water St Boston Ma,-71.05478,42.357912
6462,41183.43611,7 St James Ave Boston Ma 02116,-71.070632,42.350967
9335,41183.71528,35 Massachusetts Ave Boston Ma 02115,-71.089253,42.35037
12431,41183.40139,N380 Boston Ma,-71.040212,42.348108
15634,41183.93056,1929 Beacon St Boston Ma 02135,-71.148853,42.336405
18836,41184.3375,50 School St Boston Ma 02108,-71.05958,42.357838
21954,41183.77014,180 Mount Vernon St Boston Ma 02125,-71.048185,42.32031
24991,41184.62431,190 Portland St Boston Ma 02114,-71.061572,42.36408
28063,41184.60903,Unnamed Road Boston Ma,-71.019165,42.362697
31157,41183.78889,97 Huntington Ave Boston Ma,-71.079212,42.347028
34537,41184.87014,Unnamed Road Boston Ma,-71.054362,42.356122
37831,41184.99167,240 Beacon St Boston Ma 02116,-71.078543,42.353793
41019,41185.30278,200 Summer St Boston Ma 02210,-71.05518,42.352502
43989,41186.91458,180 Brookline Ave Boston Ma 02215,-71.101243,42.344188
46999,41185.52222,22 New Chardon St Boston Ma 02114,-71.062224,42.362599
50023,41185.62917,80 State St Boston Ma 02109,-71.056127,42.358985
53135,41186.39722,Commonwealth Ave @ E Charlesgate Boston Ma,-71.091243,42.34921
56389,41185.98403,52 Peterborough St Boston Ma 02215,-71.097493,42.343682
59696,41188.11736,Unnamed Road Boston Ma,-71.058272,42.349755
62823,41187.48264,308 Commonwealth Ave Boston Ma,-71.08614,42.3499
65877,41186.825,80 Dorchester St Boston Ma 02127,-71.04525,42.335642
68945,41186.67708,840 Boylston St Boston Ma 02199,-71.082967,42.348515
72314,41184.91528,Ayr Rd Boston Ma,-71.14873,42.33652
75442,41187.33403,223 Berkeley St Boston Ma 02116,-71.07308,42.35109
78462,41187.49375,501 Massachusetts Ave Boston Ma,-71.080525,42.33931
81739,41188.83264,200 Boylston St Boston Ma 02116,-71.068572,42.35237
84875,41188.94514,40 Trilling Way Boston Ma 02210,-71.03985,42.348065
88249,41187.25556,770 Atlantic Ave Boston Ma 02111,-71.05665,42.350173
91508,41187.64375,Unnamed Road Boston Ma,-71.019063,42.36899
94626,41187.64306,Unnamed Road Boston Ma,-71.021893,42.36509
97812,41185.61528,140 Stuart St Boston Ma 02116,-71.065875,42.351068
100969,41191.76458,Unnamed Road Boston Ma,-71.017048,42.366267
103997,41188.47431,40 North St Boston Ma 02113,-71.05598,42.360918
107207,41190.34722,Unnamed Road Boston Ma,-71.01704,42.366368
110409,41192.725,Unnamed Road Boston Ma,-71.084365,42.346215
113770,41188.05278,1191 Commonwealth Ave Boston Ma,-71.12947,42.350745
117079,41185.66389,Unnamed Road Boston Ma,-71.01687,42.366503
120443,41185.74167,310 Huntington Ave Boston Ma,-71.087243,42.341068
123534,41186.59722,Unnamed Road Boston Ma,-71.017024,42.366261
126717,41188.50694,710 Atlantic Ave Boston Ma 02111,-71.055712,42.35156
129982,41185.74653,81 Kilmarnock St Boston Ma 02215,-71.099187,42.342285
133250,41192.64306,480 Beacon St Boston Ma 02115,-71.089188,42.350807
136533,41186.32292,10 Melcher St Boston Ma 02210,-71.051088,42.35033
139829,41186.22986,90 Estes Pl Boston Ma 02110,-71.054228,42.352162
143335,41195.26597,152 Brookline Ave Boston Ma 02215,-71.100883,42.344858
146629,41187.82708,3 Avery St Boston Ma,-71.06261,42.35324
149732,41189.53403,Unnamed Road Boston Ma,-71.079835,42.34704
152964,41190.59653,97 Congress St Boston Ma 02109,-71.056622,42.359557
156280,41189.95278,Unnamed Road Boston Ma,-71.084155,42.346088
159523,41187.96111,60 Tremont St Boston Ma 02108,-71.060427,42.358067
162904,41193.51181,113 Kneeland St Boston Ma 02111,-71.059447,42.350097
166135,41190.00556,Unnamed Road Boston Ma,-71.098795,42.340823
