id,lat,lng,date,count
203501,42.3421746,-71.0629376,Wed 4/3/1991,19.5
203507,42.4065393,-71.167457,Wed 4/3/1991,48
203513,42.357555,-71.0545667,Tue 9/17/1991,11
203517,42.3646036,-71.06975729999999,Fri 9/13/1991,40.5
235775,42.338246,-71.05844259999999,Sun 11/11/2001,8.375
235780,42.3666665,-71.06826989999999,Sun 4/29/2001,19.2
235782,42.3666665,-71.06826989999999,Sun 4/29/2001,21.625
239065,42.3600825,-71.0588801,Mon 7/26/1999,26.4
239396,42.3309908,-71.0645207,Tue 8/24/1999,14
239413,42.3600825,-71.0588801,Mon 7/26/1999,6.2
240081,42.3600825,-71.0588801,Tue 8/24/1999,16.75
240082,42.3600825,-71.0588801,Tue 8/24/1999,18
240084,42.3600825,-71.0588801,Tue 7/27/1999,11.5
240091,42.4065393,-71.167457,Tue 7/27/1999,12.5
240092,42.3600825,-71.0588801,Tue 7/27/1999,100.6
240093,42.3600825,-71.0588801,Tue 8/24/1999,18.333333333333332
240095,42.3600825,-71.0588801,Tue 8/24/1999,28
240096,42.3600825,-71.0588801,Mon 7/26/1999,10.8
240101,42.3600825,-71.0588801,Mon 7/26/1999,19.5
252007,42.3385863,-71.0789916,Wed 4/16/1997,183.66666666666666
8054,42.3679413,-71.059324,Sun 4/2/2000,19
8107,42.3559041,-71.0551567,Mon 5/1/2000,30
