"TRIP_ID","DROPTIME","DROPADDRESS","DROPLONG","DROPLAT","PICKUPTIME","PICKUPADDRESS","PICKUPLONG","PICKUPLAT"
21777,"9/1/12 10:30 PM","Unnamed Road Boston Ma",-71.084182,42.346328,"9/1/12 10:26 PM","150 W Brookline St Boston Ma 02118",-71.075293,42.341932
43382,"9/3/12 7:22 AM","700 Atlantic Ave Boston Ma 02111",-71.055893,42.351678,"9/3/12 7:11 AM","1950 Dorchester Ave Boston Ma 02124",-71.064287,42.285417
64235,"9/4/12 5:57 PM","150 St James Ave Boston Ma 02116",-71.076568,42.349463,"9/4/12 5:43 PM","Unnamed Road Boston Ma",-71.018483,42.369132
84136,"9/4/12 3:23 PM","80 Causeway St Boston Ma 02114",-71.062442,42.364885,"9/4/12 3:16 PM","620 Atlantic Ave Boston Ma 02111",-71.055338,42.352387
104068,"9/6/12 7:26 PM","40 Bowdoin St Boston Ma 02108",-71.062693,42.359792,"9/6/12 7:15 PM","I-90 @ Unnamed Road Boston Ma",-71.079872,42.347673
123563,"9/7/12 11:11 AM","10 W Alcorn St Boston Ma 02134",-71.123323,42.352257,"9/7/12 11:05 AM","530 Beacon St Boston Ma 02215",-71.090998,42.350570
142801,"9/7/12 9:52 PM","25 Arlington St Boston Ma 02116",-71.070262,42.351630,"9/7/12 9:44 PM","45 Congress St Boston Ma 02109",-71.056512,42.357930
162508,"9/6/12 8:56 AM","Unnamed Road Boston Ma",-71.051650,42.354950,"9/6/12 8:52 AM","50 Trilling Way Boston Ma 02210",-71.039547,42.348270
181903,"9/7/12 11:55 AM","692 Atlantic Ave Boston Ma 02111",-71.055722,42.351790,"9/7/12 11:40 AM","N351 Boston Ma",-71.017660,42.366487
201590,"9/11/12 9:19 AM","Unnamed Road Boston Ma",-71.036560,42.312645,"9/11/12 8:59 AM","790 Boylston St Boston Ma 02199",-71.082127,42.348842
221362,"9/7/12 6:44 PM","Unnamed Road Boston Ma",-71.084480,42.345992,"9/7/12 6:20 PM","Unnamed Road Boston Ma",-71.017813,42.362367
240858,"9/13/12 1:25 PM","Unnamed Road Boston Ma",-71.017208,42.367120,"9/13/12 1:12 PM","Unnamed Road Boston Ma",-71.056408,42.350078
261266,"9/8/12 2:31 AM","520 Beacon St Boston Ma 02215",-71.090457,42.350685,"9/8/12 2:31 AM","520 Beacon St Boston Ma 02215",-71.090462,42.350693
280928,"9/9/12 1:19 AM","87 Batterymarch St Boston Ma 02110",-71.052931,42.356655,"9/9/12 1:11 AM","109 Atlantic Ave Boston Ma 02110",-71.052472,42.361393
300759,"9/27/12 6:25 PM","200 South St Boston Ma 02111",-71.057477,42.350297,"9/27/12 6:06 PM","870 Boylston St Boston Ma 02199",-71.083533,42.348440
320318,"9/11/12 7:06 PM","330 Congress St Boston Ma 02210",-71.049293,42.350865,"9/11/12 6:55 PM","630 Boylston St Boston Ma 02116",-71.077453,42.349957
340280,"9/11/12 12:40 PM","Unnamed Road Boston Ma",-71.019482,42.369108,"9/11/12 12:30 PM","Unnamed Road Boston Ma",-71.040927,42.349020
359931,"9/16/12 8:44 PM","107 Mount Vernon St Boston Ma 02108",-71.069402,42.357935,"9/16/12 8:39 PM","105 Causeway St Boston Ma 02114",-71.061773,42.365407
379149,"9/24/12 5:03 AM","Unnamed Road Boston Ma",-71.021988,42.365128,"9/24/12 5:03 AM","Unnamed Road Boston Ma",-71.021992,42.365127
398668,"9/23/12 8:44 PM","80 Harvard Ave Boston Ma 02134",-71.132268,42.353647,"9/23/12 8:07 PM","60 Hanover St Boston Ma",-71.057413,42.361560
418187,"9/14/12 8:26 AM","190 State St Boston Ma",-71.053028,42.359423,"9/14/12 8:17 AM","Charles St @ Cambridge St Boston Ma",-71.070473,42.361785
437760,"9/21/12 8:29 AM","6 Dorchester Ave Boston Ma",-71.052847,42.351655,"9/21/12 8:23 AM","103 Causeway St Boston Ma 02114",-71.061785,42.365335
457417,"9/19/12 10:11 PM","46 Stanhope St Boston Ma 02116",-71.073978,42.348532,"9/19/12 9:57 PM","250 Northern Ave Boston Ma 02210",-71.038970,42.348960
476634,"9/14/12 4:20 PM","190 Clarendon St Boston Ma 02116",-71.074703,42.349623,"9/14/12 4:03 PM","692 Atlantic Ave Boston Ma 02111",-71.055717,42.351727
496574,"9/26/12 7:05 PM","50 Haymarket Pl Boston Ma",-71.063393,42.352937,"9/26/12 6:57 PM","I-93 Boston Ma",-71.050988,42.356065
515655,"9/25/12 8:52 AM","60 St James Ave Boston Ma 02116",-71.073165,42.350463,"9/25/12 8:37 AM","399 Commercial St Boston Ma 02109",-71.051883,42.366777
535445,"9/14/12 3:46 PM","Unnamed Road Boston Ma",-71.022207,42.365247,"9/14/12 3:37 PM","N380 Boston Ma",-71.039742,42.348470
555908,"9/26/12 11:29 AM","Unnamed Road Boston Ma",-71.068573,42.362458,"9/26/12 11:26 AM","85 Beacon St Boston Ma",-71.071292,42.355735
575481,"9/22/12 12:05 AM","Avenue Of The Arts Boston Ma",-71.086497,42.341637,"9/21/12 11:53 PM","190 Canal St Boston Ma 02114",-71.061015,42.365472
595452,"9/17/12 11:20 AM","Unnamed Road Boston Ma",-71.035443,42.312752,"9/17/12 11:09 AM","4 Kneeland St Boston Ma 02111",-71.062878,42.350925
615036,"9/30/12 10:28 PM","10 Union St Boston Ma",-71.056800,42.360433,"9/30/12 10:23 PM","163 Northern Ave Boston Ma 02210",-71.043117,42.350725
634816,"9/21/12 7:48 PM","250 Northern Ave Boston Ma 02210",-71.038998,42.348995,"9/21/12 7:41 PM","60 Tremont Pl Boston Ma 02108",-71.061763,42.357915
654266,"9/20/12 2:51 PM","90 Batterymarch St Boston Ma 02110",-71.052893,42.356560,"9/20/12 2:36 PM","830 Boylston St Boston Ma 02199",-71.082768,42.348675
674067,"9/22/12 2:29 PM","180 Bay State Road Boston Ma 02215",-71.101527,42.350453,"9/22/12 2:22 PM","2 Saint Alphonsus St Boston Ma 02120",-71.099150,42.336195
694250,"9/25/12 5:10 PM","60 Pie Aly Boston Ma 02108",-71.058797,42.358060,"9/25/12 4:51 PM","270 Mount Vernon St Boston Ma 02125",-71.046217,42.319322
714015,"9/24/12 1:49 PM","71 Beacon St Boston Ma",-71.069902,42.356140,"9/24/12 1:43 PM","Unnamed Road Boston Ma",-71.082823,42.348940
733431,"9/27/12 12:22 PM","55 Francis St Boston Ma 02215",-71.107562,42.336073,"9/27/12 12:04 PM","Unnamed Road Boston Ma",-71.040898,42.349090
753032,"9/27/12 12:49 PM","760 Atlantic Ave Boston Ma 02111",-71.056418,42.350310,"9/27/12 12:42 PM","I-90 @ Dartmouth St Boston Ma",-71.075987,42.347687
772982,"9/30/12 1:01 AM","273 Dartmouth St Boston Ma 02116",-71.077715,42.350835,"9/30/12 12:58 AM","90 Hereford St Boston Ma 02115",-71.085596,42.348128
792991,"9/16/12 10:44 AM","70 Devonshire St Boston Ma 02109",-71.057043,42.358100,"9/16/12 10:32 AM","Commonwealth Ave @ Massachusetts Ave Boston Ma 02215",-71.088960,42.348720
